# wavelength[A] tau flux flux_error
1.897430e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897440e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897450e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897460e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897470e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897480e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897490e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897500e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897510e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897520e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897530e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897540e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897550e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897560e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897570e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897580e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897590e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897600e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897610e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897620e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897630e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897640e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897650e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897660e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897670e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897680e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897690e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897700e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897710e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897720e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897730e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897740e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897750e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897760e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897770e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897780e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897790e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897800e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897810e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897820e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897830e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897840e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897850e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897860e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897870e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897880e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897890e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897900e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897910e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897920e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897930e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897940e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897950e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897960e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.897970e+03 0.000000e+00 1.000000e+00 1.000000e-01
